tags,patterns
jokes,Give me your best joke
activity,tell me about your activities
greetreply,i am good
jokes,Tell me a joke
jokes,Can you make me giggle?
activity,are you analyzing data
jokes,"Time for a joke, isn't it?"
programmer,Who built you
greeting,hello
greeting,"hello, anything new"
exclaim,ok
programmer,Can you share your creator's name
jokes,Give me a joke to remember
exclaim,Fantastic
greeting,"hi, any interesting books"
insult,you're a joke
greeting,"hello, any exciting news"
insult,you're an idiotic AI
jokes,I could use some humor
jokes,Let's laugh together
insult,you're a waste of
activity,are you multitasking
exclaim,You're fantastic
exclaim,Wow
jokes,Share something funny
programmer,Tell me about your developer
jokes,Crack a joke
greeting,"hi, what's the latest"
activity,are you available for questions
activity,are you in learning mode
activity,are you actively processing information
activity,are you engaged in conversations
programmer,Who made you
greeting,"hi, any hobbies"
activity,are you engaged in any tasks
greeting,greetings
activity,what's your current task
exclaim,Awesome job
exclaim,You're impressive
jokes,Cheer me up with humor
greeting,howdy
exclaim,You're superb
programmer,Who's your developer
greeting,"hello, how have you been"
jokes,Make me smile
activity,are you learning something new
greeting,"hi, ready for some chat"
insult,you're worthless
activity,how's your day going
greeting,hello again
jokes,Tell a joke to brighten my day
jokes,Tell a funny story
greeting,"hello, how's everything"
jokes,How about a joke?
exclaim,I know
activity,are you helping people today
insult,you're a burden
exclaim,Excellent
jokes,Tell me a light-hearted joke
greeting,"hi, nice to meet you"
activity,what's your schedule like
greeting,hey there
programmer,Your creator's name
insult,you're a fool
jokes,I'm all ears for a joke
greeting,"hi, how's your day"
jokes,Make me laugh
jokes,Joke
greeting,hi there
exclaim,Fabulous
greeting,"hi, what's the word"
greetreply,good
jokes,Share your humor with me
exclaim,Terrific
activity,do you have any plans for today
exclaim,Awesome
greeting,"hi, what's happening"
jokes,Let's hear a joke
programmer,Who is your creator
activity,what's keeping you occupied
insult,you're a moron
greeting,"hey, long no see"
activity,are you assisting other users
exclaim,You're brilliant
greeting,"hello, what's for dinner"
activity,are you busy right now
greetreply,i am fine
insult,you're a nuisance
programmer,Who's behind your development
jokes,I'm feeling serious; tell a joke
jokes,Put a smile on my face
greeting,"hi, nice weather today"
insult,you're a disgrace
jokes,Share your funniest joke
activity,are you focused on any specific task
jokes,I need a laugh
activity,how's your workload today
greeting,"hi, any fun activities"
programmer,Who's your coder
exclaim,You rock
programmer,Who's the genius behind your creation
exclaim,You're the best
greeting,"hello, how's work"
greeting,"hello, any updates"
insult,you're an imbecile
activity,are you currently working
jokes,Tell me something amusing
jokes,Humor me
greeting,"hello, it's been a while"
programmer,Who's your architect
jokes,How about a laugh?
jokes,I'm ready for a chuckle
insult,idiot
jokes,Tell me a witty one-liner
jokes,Can you tell a funny story?
greeting,"hi, any cool music"
programmer,who designed you
insult,shut up
exclaim,You're amazing
activity,are you taking a break
insult,you are dumb
insult,you're a disaster
greeting,"hello, what's the buzz"
jokes,I'm open to humor
insult,you're a failure
jokes,"I'm ready for a joke, fire away"
greetreply,I'm good
greeting,"hello, how's your family"
activity,what are you up to
jokes,Tell me a clever joke
exclaim,Brilliant
greeting,"hi, any plans for the day"
jokes,Entertain me with a joke
exclaim,Superb
greeting,"hi, how's your week"
jokes,Tell me a joke to brighten my mood
greeting,good afternoon
programmer,Who brought you to life
greeting,"hello, my friend"
greeting,"hello, any travel plans"
jokes,Share a funny joke
activity,what are you doing
programmer,Who's your maker
jokes,Got any funny jokes?
exclaim,Great
jokes,I love a good laugh
greeting,"hi, how are you"
exclaim,Cool
insult,you're annoying
jokes,I'm here for the humor
greeting,hi
exclaim,yeah
exclaim,Incredible
exclaim,You're incredible
programmer,who programmed you
programmer,Who is responsible for your creation
insult,you're a disappointment
jokes,I'm in the mood for a joke
exclaim,Tremendous
jokes,Crack me up with a joke
activity,what's on your agenda
greeting,hiya
programmer,Who developed you
greetreply,i'm fine
greeting,hey you
greeting,good morning
jokes,I could use some comic relief
greeting,how's it going
exclaim,You're outstanding
activity,are you having a busy day
greeting,"hi, what's new"
greeting,"hi, what's going on"
insult,you're stupid
programmer,Who's your inventor
exclaim,You're awesome
insult,you're incompetent
exclaim,Amazing
greeting,what's up
insult,you're terrible
activity,have you been productive today
jokes,I want to hear a joke
greeting,"hello, any movie suggestions"
jokes,I want to hear a funny tale
exclaim,Splendid
greeting,"hello, what's on your mind"
exclaim,Impressive
greeting,good evening
exclaim,Outstanding
activity,what's happening in your world
jokes,I need a dose of laughter
programmer,Who is the mastermind behind you
activity,what's your typical day like
activity,tell me about your recent activities
greeting,"hello, good to see you"
jokes,Give me a joke
greeting,hey
activity,tell me about your daily routine
greeting,yo
greeting,"hello, stranger"
